A̱o,Mes,Personal,Claro,Nextel,Movistar,Otros
2022,2,71090,98497,,95792,
2022,1,73717,88856,,96240,
2021,12,75534,116284,,102538,
2021,11,81311,126052,,104985,
2021,10,59953,109684,,94402,
2021,9,64926,114432,,102903,
2021,8,51784,95638,,105276,
2021,7,60070,90200,,86468,
2021,6,60496,76371,,69162,
2021,5,54806,69968,,64470,
2021,4,59652,92317,,80413,
2021,3,48500,90372,,88262,
2021,2,38849,70465,,67414,
2021,1,50281,59515,,60438,
2020,12,64018,52124,,85248,
2020,11,66673,67793,,101097,
2020,10,74301,64224,,103392,
2020,9,104995,77443,,114069,
2020,8,104601,78804,,112460,
2020,7,76580,86328,,90651,
2020,6,81723,86023,,81860,
2020,5,52346,72532,,61038,
2020,4,40750,52115,,38307,
2020,3,93260,91794,,74891,
2020,2,105456,105933,,99332,
2020,1,105975,119695,,93691,
2019,12,118926,115255,,81623,
2019,11,122121,100593,,90280,
2019,10,179629,95397,,102656,
2019,9,164917,76641,,111005,
2019,8,112291,86058,,124810,
2019,7,103843,82485,,143327,
2019,6,88400,67440,,129752,
2019,5,106434,87637,,137443,
2019,4,92931,76450,,102819,
2019,3,76189,69313,,73611,
2019,2,76092,71701,,66692,
2019,1,71114,72971,,59687,
2018,12,57220,57390,,55891,
2018,11,60961,59247,,54266,
2018,10,63340,59447,,48759,
2018,9,58889,51444,,43296,
2018,8,55234,51724,2,42499,
2018,7,51810,40638,2,39969,
2018,6,54088,38957,3,38406,
2018,5,52440,43353,1,43987,
2018,4,36733,39355,1,40674,
2018,3,34699,42155,7,38111,
2018,2,27757,32373,7,31010,
2018,1,33082,37392,6,35985,
2017,12,34212,31605,5,36796,
2017,11,38124,32483,7,43126,
2017,10,35106,31308,12,44360,
2017,9,29727,29254,16,45112,
2017,8,32438,33573,11,48605,
2017,7,28801,33225,10,48663,
2017,6,27878,30152,10,46635,
2017,5,26815,37117,12,46360,
2017,4,22779,35362,9,42091,
2017,3,35054,44484,17,45757,
2017,2,28147,36141,13,33437,
2017,1,40045,45136,11,32769,
2016,12,49056,49418,8,41295,
2016,11,60749,59173,31,53090,
2016,10,63646,66547,21,48557,
2016,9,66049,66661,12,44350,
2016,8,61158,64310,30,55470,
2016,7,52424,56027,16,45767,
2016,6,52415,56339,19,45423,
2016,5,47523,57266,33,43505,
2016,4,43425,54620,22,45207,
2016,3,40567,46820,46,40978,
2016,2,34206,43156,38,29873,
2016,1,33697,41738,37,27419,
2015,12,39724,49628,48,27740,
2015,11,35672,49509,67,31906,
2015,10,36550,62394,70,28987,
2015,9,34797,66242,101,23639,
2015,8,32414,56791,81,17030,
2015,7,38991,64814,122,18966,
2015,6,43877,67324,115,16170,
2015,5,29633,58549,103,12651,
2015,4,30317,59543,136,13426,
2015,3,27141,45272,100,11898,
2015,2,23254,40913,83,9631,
2015,1,32142,42240,144,10161,
2014,12,34862,41532,348,13603,
2014,11,25707,35730,124,12571,
2014,10,39893,41998,116,15247,
2014,9,32561,41094,172,15167,
2014,8,27979,39750,123,12412,
2014,7,28078,41544,155,15936,
2014,6,24978,38601,149,10941,
2014,5,22177,27152,163,9035,
2014,4,20250,21888,155,5750,
2014,3,14253,21314,170,5635,
2014,2,11052,16992,193,4948,
2014,1,10790,14575,134,4724,
2013,12,13106,14760,153,5274,
2013,11,11438,15022,151,6625,
2013,10,12349,15240,175,6799,
2013,9,11604,14897,210,6972,
2013,8,7539,13439,213,7351,
2013,7,7831,12628,226,6420,
2013,6,6376,9496,257,5936,
2013,5,8169,12169,318,8227,
2013,4,8107,11615,240,7560,
2013,3,7424,9224,249,7368,
2013,2,6277,8016,200,5836,
2013,1,9208,11356,271,6720,
2012,12,8612,10740,280,7165,
2012,11,10914,11456,398,7671,
2012,10,13126,13664,375,8452,
2012,9,11975,12780,405,8232,
2012,8,12225,10677,599,10017,
2012,7,13494,9651,487,10173,
2012,6,10472,10153,676,9523,
2012,5,10770,15663,312,7890,
2012,4,4883,2188,26,937,
2012,3,40,72,0,41,
2022,10,60855,117430,,119716,153
2022,9,63315,131071,,115906,143
2022,8,68659,132676,,115879,42
2022,7,74674,111849,,111521,27
2022,6,77276,120505,,115937,54
2022,5,78284,120009,,120463,49
2022,4,81377,119297,,116799,24
2022,3,89455,121763,,129339,9
