A√±o;Trimestre;Internet m√≥vil;Ingresos DÛlares;Periodo;PorcentajeCrecimientoFijo;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
2013;1;13135235;2495695;Ene-Mar 2013;;0,19;0,12;0,11;0,067;0,058;0,037;0,024;0,014;0,01;0,0082
2013;2;13970806;2654453;Abr-Jun 2013;6%;;;;;;;;;;
2013;3;15235659;2894775;Jul-Sept 2013;9%;;;;;;;;;;
2013;4;16218846;3081581;Oct-Dic 2013;6%;;;;;;;;;;
2014;1;15938353;1912602;Ene-Mar 2013;-38%;;;;;;;;;;
2014;2;17680972;2121717;Abr-Jun 2014;11%;;;;;;;;;;
2014;3;18976053;2277126;Jul-Sept 2014;7%;;;;;;;;;;
2014;4;20012332;2401480;Oct-Dic 2014;5%;;;;;;;;;;
2015;1;19337342;2127108;Ene-Mar 2015;-11%;;;;;;;;;;
2015;2;19945453;2194000;Abr-Jun 2015;3%;;;;;;;;;;
2015;3;21785238;2396376;Jul-Sept 2015;9%;;;;;;;;;;
2015;4;24881967;2737016;Oct-Dic 2015;14%;;;;;;;;;;
2016;1;24763052;1659124;Ene-Mar 2016;-39%;;;;;;;;;;
2016;2;25353971;1698716;Abr-Jun 2016;2%;;;;;;;;;;
2016;3;27416177;1836884;Jul-Sept 2016;8%;;;;;;;;;;
2016;4;30143233;2019597;Oct-Dic 2016;10%;;;;;;;;;;
2017;1;31205565;1809923;Ene-Mar 2017;-10%;;;;;;;;;;
2017;2;33509264;1943537;Abr-Jun 2017;7%;;;;;;;;;;
2017;3;35711689;2071278;Jul-Sept 2017;7%;;;;;;;;;;
2017;4;38110028;2210382;Oct-Dic 2017;7%;;;;;;;;;;
2018;1;38733946;1433156;Ene-Mar 2018;-35%;;;;;;;;;;
2018;2;40653502;1504180;Abr-Jun 2018;5%;;;;;;;;;;
2018;3;43280089;1601363;Jul-Sept 2018;6%;;;;;;;;;;
2018;4;44026803;1628992;Oct-Dic 2018;2%;;;;;;;;;;
2019;1;50246691;1205921;Ene-Mar 2019;-26%;;;;;;;;;;
2019;2;55338816;1328132;Abr-Jun 2019;10%;;;;;;;;;;
2019;3;60905891;1461741;Jul-Sept 2019;10%;;;;;;;;;;
2019;4;65388842;1569332;Oct-Dic 2019;7%;;;;;;;;;;
2020;1;72077147;1009080;Ene-Mar 2020;-36%;;;;;;;;;;
2020;2;73538944;1029545;Abr-Jun 2020;2%;;;;;;;;;;
2020;3;79634755;1114887;Jul-Sept 2020;8%;;;;;;;;;;
2020;4;83479114;1168708;Oct-Dic 2020;5%;;;;;;;;;;
2021;1;93112153;931122;Ene-Mar 2021;-20%;;;;;;;;;;
2021;2;104782020;1047820;Abr-Jun 2021;13%;;;;;;;;;;
2021;3;117751925;1177519;Jul-Sept 2021;12%;;;;;;;;;;
2021;4;127389786;1273898;Oct-Dic 2021;8%;;;;;;;;;;
2022;1;130454676;1069728;Ene-Mar 2022;-16%;;;;;;;;;;
2022;2;153032313;1254865;Abr-Jun 2022;17%;;;;;;;;;;
2022;3;174057836;1427274;Jul-Sept 2022;14%;;;;;;;;;;
